"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @costa_rui: Assino agora o termo de colaboração com a Google, que dará fruto a uma rede social que integra estudantes e professores. @ed…",FALSE,0,NA,2017-02-08 22:09:11,FALSE,NA,"829452041135210496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElisMarina8",10,TRUE,FALSE,NA,NA
"RT @costa_rui: Todas as escolas da rede estadual terão coordenação pedagógica! Este é o nosso compromisso",FALSE,0,NA,2017-02-08 22:09:05,FALSE,NA,"829452016674078720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElisMarina8",12,TRUE,FALSE,NA,NA
"#Sesab reúne 800 participantes para debater planejamento e gestão no setor- https://t.co/oL5YeOGTrL
@costa_rui… https://t.co/FLvxIg13i9",FALSE,0,NA,2017-02-08 21:52:53,TRUE,NA,"829447936358641680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SESAB",0,FALSE,FALSE,NA,NA
"RT @educacaobahia: #AulaInaugural Governador @costa_rui destaca a importância do Coordenador Pedagógico e fala sobre os projetos para a #Ed…",FALSE,0,NA,2017-02-08 21:15:47,FALSE,NA,"829438603033878528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marcialoft",6,TRUE,FALSE,NA,NA
"RT @costa_rui: Nivea emocionou a todos hoje pela manhã na #aulainaugural. ������������������ https://t.co/DknZMKTyhU",FALSE,0,NA,2017-02-08 21:12:28,FALSE,NA,"829437767398600704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marcialoft",14,TRUE,FALSE,NA,NA
"RT @Fala_Bahia: #Conder - ouvinte diz a @EmmersonJose que obra da Conder no Jardim de Alah nunca mais acaba. Atenção governador @costa_rui",FALSE,0,NA,2017-02-08 20:56:14,FALSE,NA,"829433679738986499",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EmmersonJose",1,TRUE,FALSE,NA,NA
"@costa_rui esqueceu de falar da doutrinação marxista.",FALSE,0,"costa_rui",2017-02-08 20:36:15,FALSE,"829313909744136200","829428651422806016","68466700","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","qualsophia",0,FALSE,FALSE,NA,NA
"Boa tarde nosso governador @costa_rui Deus abençoe sua noite e tbm de sua família������",FALSE,0,NA,2017-02-08 20:30:50,FALSE,NA,"829427287498096640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AgleideFerreira",0,FALSE,FALSE,NA,NA
"@costa_rui vc bota pra f.",FALSE,0,"costa_rui",2017-02-08 20:26:55,FALSE,"829423787410128896","829426304223178752","68466700","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ligerneto",0,FALSE,FALSE,NA,NA
"@costa_rui E a de Itapicuru,a empresa parou a obra à mais de 15 dias, além de que o que já  foi executado, muito pouco, péssima qualidade.",FALSE,0,"costa_rui",2017-02-08 20:26:42,FALSE,"829423787410128896","829426249307152385","68466700","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Freddias57",0,FALSE,FALSE,NA,NA
"RT @Mavsampaio: Governador @costa_rui
Orgulho da Bahia do Brasil
Ñ se faz política humilhando e maltratando adversário
Respeitem a democrac…",FALSE,0,NA,2017-02-08 20:21:52,FALSE,NA,"829425033726590989",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rodrigodealemos",64,TRUE,FALSE,NA,NA
"RT @costa_rui: Todas as escolas da rede estadual terão coordenação pedagógica! Este é o nosso compromisso",FALSE,0,NA,2017-02-08 20:14:04,FALSE,NA,"829423070117036038",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NreSalvador",12,TRUE,FALSE,NA,NA
"@mlgmurilo @costa_rui só está na delação da Odebrecht não é mesmo?",FALSE,0,"mlgmurilo",2017-02-08 20:13:24,FALSE,"829396955474313216","829422902802051078","805616689001938944","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","qualsophia",0,FALSE,FALSE,NA,NA
